Concept,ImageNet IDs,ImageNet classes,Features
prune,,,"a_fruit, eaten_by_old_people, eaten_for_constipation, eaten_for_helping_digestion, grows_on_trees, has_a_pit, has_seeds, has_skin, is_dark, is_dried, is_juicy, is_purple, is_small, is_wrinkled, made_from_dried_plums, made_from_plums, tastes_sweet, used_for_juice"
pumpkin,,,"a_fruit, a_vegetable, eaten_in_pies, grows_on_vines, has_seeds, is_large, is_orange, is_round, used_at_Hallowe'en, used_by_carving, used_for_Jack_O'Lanterns, used_in_autumn"
pyramid,,,"a_wonder_of_the_world, found_in_deserts, found_in_Egypt, has_tombs, is_ancient, is_large, is_mysterious, is_old, is_tall, is_triangular, made_by_Egyptians, made_by_humans, made_of_blocks, made_of_stones"
python,62,rock python rock snake Python sebae,"a_pet, a_reptile, a_snake, an_animal, beh_-_bites, beh_-_eats_small_animals, beh_-_slithers, beh_-_strangles_prey, has_fangs, has_scales, is_dangerous, is_large, is_long, is_poisonous, lives_in_jungles"
rabbit,"330, 332","wood rabbit cottontail cottontail rabbit, Angora Angora rabbit","a_pet, an_animal, associated_with_Easter, beh_-_eats_carrots, beh_-_hops, has_a_tail, has_ears, has_feet, has_teeth, has_whiskers, hunted_by_people, is_edible, is_furry, is_small"
raccoon,,,"an_animal, beh_-_eats_garbage, beh_-_is_nocturnal, beh_-_produces_offspring, has_a_mask, has_a_tail, has_eyes, has_stripes, is_black, is_furry, is_small, is_white"
racquet,752,racket racquet,"a_utensil, has_a_hand_grip, has_a_handle, has_strings, is_round, made_of_metal, made_of_wood, used_by_hitting_balls, used_for_badminton, used_for_racquet_ball, used_for_sports, used_for_squash, used_for_tennis"
radio,754,radio wireless,"found_in_cars, has_adjustable_volume_control, has_an_antenna, has_dials, inbeh_-_produces_static, is_electrical, is_popular, is_portable, used_for_communication, used_for_listening, used_for_listening_to_music, used_for_listening_to_news, used_for_listening_to_talk_shows, used_for_playing_AM, used_for_playing_different_stations, used_for_playing_FM, uses_sound_waves"
radish,,,"a_root, a_vegetable, eaten_in_salads, grows_in_gardens, grows_underground, has_a_red_outside, has_an_inside, has_an_outside, has_green_leaves, has_leaves, is_crunchy, is_red, is_round, is_small, is_white_inside, tastes_hot/spicy"
raft,,,"a_boat, inbeh_-_floats, is_square, is_tied_together_with_rope, made_of_logs, made_of_plastic, made_of_rubber, made_of_wood, used_by_Tom_Sawyer, used_for_riding_rapids, used_for_transportation, used_on_water, used_with_paddles, used_with_poles"
raisin,,,"a_fruit, eaten_in_cereals, grows_in_California, is_black, is_brown, is_dried, is_edible, is_small, is_wrinkled, is_yellow, made_from_dried_grapes, made_from_grapes, tastes_sweet, used_in_baking"
rake,,,"a_tool, found_in_gardens, has_a_handle, has_a_long_handle, has_prongs, has_teeth, is_long, like_a_fork, made_of_metal, made_of_wood, used_for_cleaning, used_for_gardening, used_for_removing_leaves, used_in_autumn, used_on_lawns"
raspberry,,,"a_berry, a_fruit, eaten_as_jam, grows_on_bushes, has_seeds, is_edible, is_red, is_small, tastes_good, tastes_sour, tastes_sweet"
rat,,,"a_rodent, an_animal, beh_-_eats, beh_-_eats_garbage, carries_disease, has_4_legs, has_a_long_tail, has_a_tail, has_beady_eyes, has_eyes, has_fur, has_legs, has_teeth, has_whiskers, is_dirty, is_frightening, is_grey, is_small, is_ugly, is_white, lives_in_sewers, used_in_experiments"
rattle,,,"a_toy, associated_with_snakes, has_a_handle, has_shakers_inside, inbeh_-_produces_noise, is_colourful, is_round, made_of_plastic, used_by_babies"
rattlesnake,"67, 68","diamondback diamondback rattlesnake Crotalus adamanteus, sidewinder horned rattlesnake Crotalus cerastes","a_reptile, an_animal, beh_-_bites, beh_-_eats, beh_-_eats_rodents, beh_-_rattles, beh_-_slithers, has_a_rattle_on_tail, has_a_tail, has_a_tongue, has_fangs, has_scales, is_dangerous, is_green, is_long, is_poisonous, is_scary, is_slender, lives_in_deserts"
raven,,,"a_bird, a_scavenger, an_animal, beh_-_builds_nests, beh_-_caws, beh_-_flies, beh_-_lays_eggs, has_a_beak, has_feathers, has_feet, has_wings, is_black, is_large"
razor,,,"found_in_bathrooms, is_electrical, is_sharp, made_of_metal, used_by_men, used_by_women, used_for_cutting, used_for_shaving"
revolver,763,revolver six-gun six-shooter,"a_gun, a_weapon, has_6_bullets, has_a_handle, has_a_trigger, inbeh_-_fires_bullets, inbeh_-_produces_a_loud_noise_when_fired, is_black, is_dangerous, made_of_metal, requires_bullets, used_by_criminals, used_by_the_police, used_for_killing, used_for_protection"
rhubarb,,,"a_fruit, a_vegetable, grows_in_gardens, has_leaves, is_crunchy, is_edible, is_green, is_long, is_red, tastes_sour, used_for_pies"
rice,,,"a_food, a_grain, associated_with_China, eaten_by_cooking, grows_in_water, is_brown, is_edible, is_round, is_small, is_white"
rifle,"413, 764","assault rifle assault gun, rifle","a_gun, a_weapon, has_a_barrel, has_a_handle, has_a_long_barrel, has_a_trigger, inbeh_-_fires, inbeh_-_fires_bullets, is_dangerous, is_heavy, is_lethal, is_long, is_loud, made_of_metal, used_for_hunting, used_for_killing, used_for_shooting, used_for_war"
ring_(jewelry),,,"is_cheap, is_decorative, is_expensive, is_pretty, is_round, is_shiny, made_of_diamonds, made_of_gold, made_of_metal, made_of_silver, symbol, symbol_of_marriages, worn_on_fingers"
robe,400,academic gown academic robe judge's robe,"clothing, different_colours, found_in_bathrooms, has_a_belt, is_comfortable, is_long, is_soft, is_warm, made_of_cotton, made_of_different_materials, made_of_terry_cloth, worn_for_bathing, worn_for_covering_body, worn_for_showers, worn_for_warmth, worn_over_pajamas"
robin,15,robin American robin Turdus migratorius,"a_bird, beh_-_builds_nests, beh_-_eats, beh_-_eats_insects, beh_-_eats_worms, beh_-_flies, beh_-_lays_blue_eggs, beh_-_lays_eggs, beh_-_migrates, beh_-_sings, has_a_beak, has_a_breast, has_a_red_breast, has_feathers, is_common, is_small, symbol_of_spring"
rock,,,"a_music, a_stone, a_weapon, has_minerals, is_grey, is_hard, is_heavy, is_rough, is_smooth, is_solid, used_by_throwing, used_for_construction"
rocker,765,rocking chair rocker,"a_chair, is_comfortable, made_of_wood, used_by_rocking, used_by_sitting_on, used_for_babies"
rocket,,,"a_weapon, inbeh_-_flies, is_expensive, is_fast, is_large, is_long, is_round, made_by_N.A.S.A., made_of_metal, requires_fuel, used_by_astronauts, used_for_traveling_into_space"
rooster,,,"a_bird, a_chicken, a_male_chicken, an_animal, associated_with_morning, beh_-_cannot_fly, beh_-_crows, has_2_feet, has_a_beak, has_a_comb, has_feathers, has_feet, has_wings, is_edible, is_red, is_white, lives_on_farms, used_for_waking_up_people"
rope,,,"is_braided, is_long, is_strong, is_thick, is_thin, is_twisted, used_by_tying, used_for_climbing, used_for_hangings, used_for_jumping, used_for_pulling, used_for_securing"
ruler,769,rule ruler,"eg_-_a_king, has_edges, has_numbers, has_straight_edges, has_units, has_units_-_cm, has_units_-_inches, is_1_foot_long, is_flat, is_long, is_metric, is_rectangular, is_straight, made_of_plastic, made_of_wood, used_for_drawing, used_for_drawing_straight_lines, used_for_measuring"
sack,,,"a_bag, made_of_burlap, made_of_cloth, made_of_different_materials, used_for_carrying_things, used_for_holding_potatoes, used_for_holding_things, worn_over_shoulder"
saddle,,,"found_on_horses_backs, has_stirrups, has_straps, is_brown, is_heavy, made_of_leather, used_by_sitting_on, used_for_riding, used_on_horses"
sailboat,,,"a_boat, different_sizes, found_on_water, has_a_mast, has_a_motor, has_sails, inbeh_-_floats, is_large, is_small, requires_wind, used_by_humans, used_for_leisure, used_for_sports, used_for_transportation"
salamander,"25, 28","European fire salamander Salamandra salamandra, spotted salamander Ambystoma maculatum","a_fish, a_lizard, a_reptile, an_animal, has_4_legs, has_a_long_tail, has_a_long_tongue, has_legs, is_edible, is_green, is_slimy, is_small, lives_in_water"
salmon,391,coho cohoe coho salmon blue jack silver salmon Oncorhynchus kisutch,"a_fish, an_animal, beh_-_lays_eggs, beh_-_swims, has_a_tail, has_fins, has_gills, is_edible, is_pink, lives_in_water"
sandals,,,"a_footwear, a_shoe, has_soles, has_straps, is_brown, is_comfortable, is_open, made_of_leather, made_of_plastic, worn_at_beaches, worn_by_Jesus_Christ, worn_for_exposing_feet, worn_for_walking, worn_for_walking_in_sand, worn_in_hot_weather, worn_in_summer, worn_on_feet"
sandpaper,,,"bought/sold_in_hardware_stores, found_in_workshops, has_a_sheet, has_different_sizes_of_grains/textures, has_fine_sand_covering_it, is_brown, is_gritty, is_rough, made_of_sand, used_for_carpentry, used_for_smoothing, used_for_smoothing_wood"
sardine,,,"a_fish, beh_-_swims, comes_in_cans, eaten_on_pizza, is_edible, is_slimy, is_small, is_smelly, lives_in_water, tastes_bad, tastes_salty"
saucer,,,"a_plate, a_UFO, eg_-_flying_saucer, has_patterns, is_breakable, is_flat, is_round, made_of_china, made_of_porcelain, part_of_a_set_of_dishes, used_for_catching, used_for_catching_drips, used_for_feeding_cats, used_with_cups, used_with_tea_cups"
saxophone,776,sax saxophone,"a_musical_instrument, a_woodwind, has_a_mouthpiece, has_keys, has_reeds, inbeh_-_produces_music, is_gold, is_shiny, made_of_brass, made_of_metal, requires_air, used_for_music, used_for_playing_jazz, used_in_bands"
scarf,,,"clothing, different_colours, is_colourful, is_fashionable, is_knitted, is_long, is_soft, made_of_wool, worn_around_neck, worn_for_the_cold, worn_for_warmth, worn_in_winter"
scissors,,,"a_tool, has_2_blades, has_blades, has_handles, is_dangerous, is_sharp, made_of_metal, made_of_plastic, used_for_cutting, used_for_cutting_paper"
scooter,670,motor scooter scooter,"a_vehicle, has_2_wheels, has_an_engine, has_handle_bars, has_wheels, is_fast, is_slow, is_small, made_of_metal, used_by_children, used_by_pushing, used_for_transportation, used_with_helmets"
screwdriver,784,screwdriver,"a_drink, a_tool, found_in_toolboxes, has_a_flat_head_(slot), has_a_handle, has_a_head, has_a_Phillips_head, has_different_heads, is_hand_held, is_long, made_of_metal, made_of_vodka_and_orange_juice, used_for_carpentry, used_for_loosening, used_for_loosening_screws, used_for_repairs, used_for_tightening, used_for_tightening_screws, used_for_turning, used_for_turning_screws"
screws,,,"a_bolts, different_sizes, has_a_flat_head, has_a_head, has_a_pointed_end, has_different_heads, has_threads, is_small, like_a_nail, made_of_metal, used_by_turning, used_for_carpentry, used_for_construction, used_for_fastening, used_for_holding, used_for_holding_things_together, used_for_metal, used_in_wood, used_with_screwdrivers"
seagull,,,"a_bird, beh_-_eats, beh_-_eats_fish, beh_-_eats_garbage, beh_-_flies, beh_-_lays_eggs, beh_-_makes_loud_noises, beh_-_produces_manure, has_a_beak, has_feathers, has_wings, is_grey, is_white, lives_by_the_beach, lives_by_the_ocean"
seal,,,"a_mammal, an_animal, beh_-_does_tricks, beh_-_eats_fish, beh_-_swims, has_flippers, has_whiskers, hunted_by_people, is_cute, is_edible, is_endangered, is_large, is_smooth, killed_for_fur, lives_in_Arctic, lives_in_cold_climates, lives_in_water"
seaweed,,,"a_plant, eaten_by_animals, grows_in_oceans, grows_in_seas, grows_in_water, is_edible, is_green, is_long, is_slimy, is_smelly"
shack,,,"has_a_door, has_a_roof, inbeh_-_leaks, is_dirty, is_old-fashioned, is_run-down, is_small, made_of_metal, made_of_wood, used_as_a_house, used_for_storage, used_for_storing_tools"
shawl,,,"clothing, different_colours, is_knitted, is_warm, made_of_cotton, made_of_wool, worn_by_old_women, worn_by_women, worn_for_warmth, worn_on_shoulders"
shed,,,"a_building, found_in_back_yards, found_outdoors, has_a_roof, has_doors, is_small, made_of_metal, made_of_wood, used_for_storage, used_for_storing_bicycles, used_for_storing_lawnmowers, used_for_storing_tools"
sheep,,,"a_baby_is_a_lamb, a_mammal, an_animal, beh_-_bahs, beh_-_eats, beh_-_eats_grass, eaten_as_meat, has_4_legs, has_legs, has_wool, herded_by_shepherds, is_black, is_cuddly, is_cute, is_gentle, is_white, lives_in_Australia, lives_in_herds, lives_on_farms, used_by_clipping/shearing, used_for_wool"
shell,,,"a_house, different_colours, different_shapes, found_in_seas, found_on_beaches, is_breakable, is_hard, used_for_protection"
shelves,,,"found_in_cupboards, found_in_libraries, found_on_walls, is_flat, is_useful, made_of_metal, made_of_plastic, made_of_wood, used_for_organizing, used_for_storage, used_for_storing_books"
shield,787,shield buckler,"a_weapon, associated_with_knights, associated_with_swords, is_large, is_medieval, made_of_metal, made_of_wood, used_for_battle, used_for_protection, used_for_war"
ship,"510, 724","container ship containership container vessel, pirate pirate ship","has_decks, has_sails, inbeh_-_floats, is_large, is_sinkable, made_of_wood, requires_captains, requires_crews, used_for_cargo, used_for_cruising, used_for_passengers, used_for_transportation, used_on_water"
shirt,610,jersey T-shirt tee shirt,"clothing, different_colours, eg_-_t-shirt, has_a_collar, has_buttons, has_long_sleeves, has_pockets, has_short_sleeves, has_sleeves, made_of_cotton, made_of_material, requires_ironing, worn, worn_by_men, worn_by_women, worn_for_warmth, worn_on_torso, worn_with_ties"
shoes,,,"clothing, comes_in_pairs, different_sizes, has_buckles, has_heels, has_high_heels, has_laces, has_soles, made_of_leather, made_of_material, made_of_suede, worn_for_covering, worn_for_covering_feet, worn_for_protecting_feet, worn_for_protection, worn_for_running, worn_for_sports, worn_for_walking, worn_on_feet"
shotgun,,,"a_gun, a_weapon, has_a_trigger, is_dangerous, is_loud, made_of_metal, requires_bullets, used_by_the_police, used_for_hunting, used_for_killing"
shovel,792,shovel,"a_tool, has_a_handle, has_a_long_handle, has_a_metal_end, has_a_wooden_handle, has_an_end, made_of_metal, used_for_digging, used_for_digging_holes, used_for_gardening, used_for_moving_snow, used_for_removing, used_for_removing_snow, used_for_scooping, used_with_dirt"
shrimp,,,"beh_-_swims, has_a_shell, has_a_tail, is_edible, is_large, is_pink, is_red, is_small, is_white, lives_in_oceans, lives_in_seas, lives_in_water, tastes_good"
sink,,,"a_basin, found_in_bathrooms, found_in_kitchens, has_a_drain, has_a_drain_plug, has_pipes, has_taps, inbeh_-_clogs, made_of_enamel, made_of_metal, made_of_porcelain, made_of_stainless_steel, used_for_holding_water, used_for_laundry, used_for_washing, used_for_washing_dishes, used_for_water"
skateboard,,,"a_board, has_4_wheels, has_wheels, is_fast, is_long, made_of_wood, used_by_children, used_by_riding, used_for_performing_tricks, used_for_transportation"
skillet,567,frying pan frypan skillet,"a_pan, found_in_kitchens, has_a_handle, inbeh_-_gets_hot, is_round, made_of_iron, made_of_metal, used_for_cooking, used_for_food, used_for_frying, used_on_stove_tops"
skirt,,,"clothing, different_colours, different_lengths, eg_-_mini_skirt, has_pleats, is_colourful, is_dressy, is_long, is_short, is_tight, made_of_different_materials, made_of_material, worn_by_men_-_kilt, worn_by_women"
skis,,,"comes_in_pairs, has_bindings, is_long, is_thin, made_of_wood, requires_boots, requires_poles, used_for_sliding_down_hills, used_in_the_cold, used_on_mountains, used_on_snow, used_on_water, worn_on_feet"
skunk,361,skunk polecat wood pussy,"an_animal, beh_-_sprays_when_in_danger, has_4_legs, has_a_stripe, has_a_tail, has_fur, has_legs, is_black, is_small, is_white, lives_in_forests, smells_bad"
skyscraper,,,"a_building, found_in_cities, has_elevators, has_many_floors, has_stairs, has_windows, is_large, is_tall, owned_by_companies, used_for_business, used_for_housing_people, used_for_offices"
sled,,,"different_colours, is_fast, is_fun, made_of_metal, made_of_plastic, made_of_wood, used_by_children, used_by_pulling_by_dogs, used_for_sliding_down_hills, used_for_tobogganing, used_in_winter, used_on_snow"
sledgehammer,,,"a_tool, has_a_handle, has_a_metal_head, has_a_wooden_handle, is_heavy, is_large, is_long, made_of_metal, made_of_wood, used_for_breaking_things, used_for_construction"
sleigh,537,dogsled dog sled dog sleigh,"is_fun, made_of_metal, made_of_plastic, made_of_wood, used_by_pulling, used_by_Santa, used_for_transportation, used_in_the_winter, used_on_snow"
slingshot,,,"a_toy, a_weapon, has_a_Y_shaped_part, has_elastic, is_dangerous, made_of_wood, used_by_boys, used_by_children, used_by_David_on_Goliath, used_for_hunting, used_for_hunting_small_game, used_for_killing, used_for_shooting, used_for_throwing, used_for_throwing_stones"
slippers,,,"a_footwear, clothing, comes_in_pairs, is_comfortable, is_fuzzy/fluffy, is_soft, made_of_leather, used_for_chewing_by_dogs, worn_for_keeping_feet_warm, worn_for_warmth, worn_in_houses, worn_indoors, worn_on_feet"
snail,113,snail,"eaten_as_escargot, has_a_shell, has_antennae, is_edible, is_slimy, is_slow, is_small, like_a_slug, lives_in_a_shell"
socks,,,"clothing, comes_in_pairs, different_colours, eg_-_sport, has_holes, is_darned, is_dirty, is_knee_high, is_smelly, made_of_cotton, made_of_material, made_of_wool, worn_for_keeping_feet_warm, worn_for_warmth, worn_on_feet"
sofa,,,"found_in_dens, found_in_living_rooms, furniture, has_4_legs, has_a_bed, has_a_hidden_bed, has_armrests, has_cushions, has_legs, has_pillows, is_comfortable, is_soft, is_upholstered, used_by_sitting_on, used_for_lying_down, used_for_relaxing, used_for_sleeping, used_for_watching_television"
spade,,,"a_shovel, a_tool, has_a_handle, is_black, made_of_metal, used_by_gardeners, used_for_digging"
sparrow,,,"a_bird, an_animal, beh_-_builds_nests, beh_-_chirps, beh_-_flies, beh_-_lays_eggs, beh_-_migrates, beh_-_sings, has_a_beak, has_feathers, has_wings, is_small, lives_in_nests"
spatula,813,spatula,"a_utensil, found_in_kitchens, has_a_handle, is_flat, is_long, made_of_metal, made_of_plastic, made_of_rubber, made_of_wood, used_for_baking, used_for_cooking, used_for_flipping"
spear,,,"a_weapon, has_a_handle, has_a_head, has_a_pointed_end, has_a_wooden_handle, is_dangerous, is_long, is_primitive, is_sharp, is_thin, made_of_wood, used_by_throwing, used_for_fishing, used_for_hunting, used_for_killing"
spider,"72, 73, 74, 77","black and gold garden spider Argiope aurantia, barn spider Araneus cavaticus, garden spider Aranea diademata, wolf spider hunting spider","an_insect, beh_-_crawls, beh_-_eats_flies, beh_-_eats_insects, beh_-_lays_eggs, beh_-_produces_poison, beh_-_spins_webs, has_6_legs, has_8_legs, has_eyes, has_legs, is_black, is_frightening, is_hairy, is_large, is_small"
spinach,,,"a_vegetable, associated_with_Popeye, eaten_by_cooking, eaten_in_salads, eaten_in_soups, grows_in_gardens, has_leaves, is_edible, is_green, is_healthy, is_nutritious"
spoon,910,wooden spoon,"a_utensil, found_in_kitchens, has_a_concave_end/ladle, has_a_handle, has_a_round_end, has_an_end, is_silver, made_of_metal, made_of_plastic, made_of_wood, part_of_table_setting, used_by_babies, used_for_eating, used_for_eating_dessert, used_for_eating_soup, used_for_liquids, used_for_measuring, used_for_serving_food, used_for_stirring"
squid,,,"a_fish, a_seafood, beh_-_shoots_ink, beh_-_swims, has_tentacles, is_edible, is_slimy, lives_in_oceans, lives_in_saltwater, lives_in_seas, lives_in_water"
squirrel,335,fox squirrel eastern fox squirrel Sciurus niger,"a_mammal, an_animal, beh_-_climbs_trees, beh_-_eats, beh_-_eats_nuts, beh_-_hibernates, beh_-_runs, has_4_legs, has_a_bushy_tail, has_a_tail, has_fur, has_legs, is_brown, is_cute, is_fast, is_grey, is_small, lives_in_trees"
starling,,,"a_bird, beh_-_builds_nests, beh_-_eats, beh_-_eats_worms, beh_-_flies, beh_-_lays_eggs, beh_-_sings, has_a_beak, has_feathers, has_wings, is_black, is_small"
stereo,,,"has_a_cassette_deck, has_a_CD_player, has_a_radio, has_a_turntable, has_speakers, is_electrical, is_electronic, is_expensive, is_loud, sounds_great, used_for_listening, used_for_listening_to_music, used_for_playing_cassettes, used_for_playing_CD's, used_for_playing_records"
stick,,,"a_branch, a_weapon, has_bark, is_hard, is_long, is_thin, made_of_wood, part_of_a_tree, used_for_playing_with_dogs, used_for_poking, used_for_walking"
stone,,,"a_rock, a_weapon, is_cold, is_grey, is_hard, is_heavy, is_round, is_small, is_smooth, used_by_throwing, used_for_construction"
stool_(furniture),,,"found_in_bars, has_4_legs, has_a_cushion, has_a_foot_rest, has_a_seat, has_legs, has_no_backrest, is_round, is_small, is_tall, made_of_metal, made_of_wood, used_by_sitting_on"
stork,"127, 128","white stork Ciconia ciconia, black stork Ciconia nigra","a_bird, beh_-_eats, beh_-_eats_fish, beh_-_flies, has_a_beak, has_a_long_beak, has_feathers, has_legs, has_long_legs, has_wings, is_large, is_white, lives_in_marshes, used_for_delivering_babies"
stove,827,stove,"an_appliance, found_in_kitchens, has_an_oven, has_elements, inbeh_-_produces_heat, is_electrical, is_hot, made_of_metal, requires_gas, requires_wood, used_for_baking, used_for_cooking, used_for_heating"
strainer,828,strainer,"a_utensil, found_in_kitchens, has_holes, inbeh_-_water_passes_through, is_round, made_of_metal, made_of_plastic, used_for_cooking, used_for_draining, used_for_pasta, used_for_separating, used_for_straining, used_for_vegetables"
strawberry,949,strawberry,"a_fruit, grows_in_fields, grows_on_bushes, grows_on_plants, has_green_leaves, has_seeds, is_edible, is_juicy, is_picked, is_red, is_small, is_soft, tastes_good, tastes_sweet, used_for_making_jams, used_for_making_pies, used_in_desserts"
submarine,833,submarine pigboat sub U-boat,"has_a_periscope, has_nuclear_missiles, has_propellers, is_large, made_of_metal, requires_a_crew, requires_nuclear_power, used_by_people, used_by_the_navy, used_for_transportation, used_for_war, used_on_water, used_underwater"
subway,,,"a_train, found_in_cities, found_in_large_cities, has_graffiti, is_crowded, is_dirty, is_efficient, is_electrical, is_fast, is_loud, is_underground, like_a_train, used_for_passengers, used_for_transportation"
surfboard,,,"different_colours, different_styles, has_fins, inbeh_-_floats, is_flat, is_long, made_of_fiberglass, made_of_wood, requires_waxing, used_by_standing_on, used_on_water, used_on_waves"
swan,100,black swan Cygnus atratus,"a_bird, beh_-_flies, beh_-_is_quiet, beh_-_lays_eggs, beh_-_swims, has_a_beak, has_a_long_neck, has_feathers, has_webbed_feet, has_wings, is_beautiful, is_graceful, is_pretty, is_white, lives_on_ponds, lives_on_water"
sweater,,,"clothing, different_colours, eg_-_a_pull-over, has_sleeves, is_knitted, is_warm, made_of_cotton, made_of_wool, worn_for_the_cold, worn_for_warmth, worn_for_winter"
swimsuit,,,"a_bikini, associated_with_swimming_pools, clothing, different_colours, different_styles, has_1_piece, has_2_pieces, inbeh_-_dries_quickly, inbeh_-_gets_wet, is_tight, made_of_different_materials, made_of_spandex, worn_at_beaches, worn_by_men, worn_by_women, worn_for_covering_body, worn_for_suntanning, worn_for_swimming, worn_in_summer"
sword,,,"a_weapon, has_a_blade, has_a_handle, has_a_long_blade, has_a_pointed_end, has_a_sheath, is_dangerous, is_long, is_sharp, is_shiny, made_of_metal, made_of_steel, symbol, used_by_knights, used_for_cutting, used_for_war"
table,"532, 736, 846","dining table board, pool table billiard table snooker table, table lamp","found_in_dining_rooms, found_in_kitchens, furniture, has_4_legs, has_chairs, has_legs, is_flat, is_round, is_square, made_of_wood, used_for_eating_on"
tack,,,"different_colours, has_a_pointed_end, is_sharp, is_shiny, is_silver, is_small, is_useful, made_of_metal, used_by_hanging_things_on, used_for_holding, used_for_holding_paper, used_on_boards, used_on_bulletin_boards"
tangerine,,,"a_fruit, eaten_by_peeling, grows_in_Florida, grows_in_warm_climates, grows_on_trees, has_peel, has_sections, has_seeds, has_skin, has_vitamin_C, is_citrus, is_juicy, is_orange, is_round, is_small, tastes_sweet"
tank_(army),,,"has_guns, has_tracks, has_wheels, is_bulletproof, is_green, is_heavy, is_large, is_powerful, made_of_metal, requires_a_crew, used_by_armies, used_for_destruction, used_for_war"
tank_(container),,,"different_sizes, is_large, made_of_glass, made_of_metal, made_of_plastic, used_for_holding_things, used_for_holding_water, used_for_keeping_fish, used_for_liquids, used_for_storage"
tap,,,"a_faucet, found_in_bathrooms, found_in_kitchens, found_on_sinks, made_of_metal, used_by_turning, used_for_getting_cold_water, used_for_getting_hot_water, used_for_water"
tape_(scotch),,,"comes_in_rolls, is_clear, is_long, is_not_expensive, is_sticky, is_transparent, is_useful, used_for_attaching_things, used_for_holding, used_on_presents, used_on_walls"
taxi,468,cab hack taxi taxicab,"a_cab, a_car, found_in_New_York, is_expensive, is_fast, is_yellow, requires_drivers, requires_money, used_for_passengers, used_for_transportation"
telephone,"487, 528","cellular telephone cellular phone cellphone cell mobile phone, dial telephone dial phone","associated_with_Bell, found_in_houses, has_a_cord, has_a_dial, has_a_receiver, has_buttons, has_numbers, inbeh_-_rings, made_of_plastic, used_for_calling_people, used_for_communication, used_for_talking"
tent,672,mountain tent,"has_a_door, has_poles, has_zippers, is_portable, is_waterproof, made_of_canvas, requires_setting_up, used_for_camping, used_for_protection, used_for_sleeping_in, used_outdoors"
thermometer,,,"has_mercury, has_numbers, is_long, is_measured_in_degrees_Celsius, is_measured_in_degrees_Fahrenheit, is_placed_under_tongues, is_round, made_of_glass, used_for_fevers, used_for_measuring_temperatures, used_for_measuring_weather, used_when_people_are_ill"
thimble,855,thimble,"found_in_sewing_kits, has_dimples, is_silver, is_small, made_of_metal, made_of_plastic, used_for_sewing, used_with_needles, worn_for_protection, worn_on_fingers, worn_on_thumbs"
tie,"457, 906","bow tie bow-tie bowtie, Windsor tie","clothing, different_colours, eg_-_bow, has_a_knot, has_patterns, is_businesslike, is_formal, is_long, is_thin, made_of_material, made_of_silk, worn_around_neck, worn_by_men, worn_with_suits"
tiger,292,tiger Panthera tigris,"a_carnivore, a_cat, a_feline, a_predator, an_animal, beh_-_roars, has_claws, has_fur, has_large_teeth, has_sharp_teeth, has_stripes, has_teeth, has_whiskers, is_black, is_dangerous, is_ferocious, is_large, is_orange, lives_in_Africa, lives_in_India, lives_in_jungles, lives_in_wilderness, lives_in_zoos, used_in_circuses"
toad,32,tailed frog bell toad ribbed toad tailed toad Ascaphus trui,"a_frog, a_relative_of_frogs, an_amphibian, an_animal, beh_-_croaks, beh_-_eats, beh_-_eats_flies, beh_-_eats_insects, beh_-_hops, beh_-_jumps, beh_-_swims, has_a_long_tongue, has_a_tongue, has_legs, has_warts, is_brown, is_green, is_slimy, is_small, is_ugly, lives_in_ponds, lives_in_water, lives_on_lily_pads"
toaster,859,toaster,"an_appliance, found_in_kitchens, has_a_plug, has_elements, inbeh_-_gets_hot, inbeh_-_pops_up, is_electrical, is_hot, made_of_metal, used_for_breakfast, used_for_browning_bread, used_for_burning_bread, used_for_cooking, used_for_cooking_bread"
toilet,861,toilet seat,"found_in_bathrooms, has_a_seat, inbeh_-_holds_water, is_white, made_of_ceramic, made_of_porcelain, used_by_flushing, used_for_bodily_functions"
tomahawk,,,"a_tool, a_weapon, an_axe, has_a_blade, has_a_handle, has_a_stone_blade, has_a_wooden_handle, is_adorned_with_feathers, is_sharp, made_of_wood, used_by_Indians, used_by_throwing, used_for_scalping, used_for_war"
tomato,,,"a_fruit, a_vegetable, eaten_as_sauces, eaten_in_salads, grows_in_gardens, grows_on_plants, grows_on_vines, has_seeds, is_edible, is_green, is_juicy, is_red, is_round"
tongs,,,"a_utensil, found_in_kitchens, is_hand_held, is_long, made_of_metal, made_of_plastic, used_for_picking_up_food, used_for_picking_up_items"
tortoise,37,box turtle box tortoise,"a_reptile, a_turtle, an_animal, beh_-_lays_eggs, beh_-_swims, has_4_legs, has_a_hard_shell, has_a_retractable_head, has_a_shell, is_green, is_large, is_long_lived, is_slow, lives_in_water"
toy,"158, 265","toy terrier, toy poodle","bought/sold_in_stores, eg_-_dolls, is_fun, used_as_presents, used_by_children, used_for_amusement, used_for_playing, used_for_stimulating_imagination"
tractor,"866, 867","tractor, trailer truck tractor trailer trucking rig rig articulated lorry semi","a_machine, has_a_seat, has_large_wheels, has_wheels, is_large, is_loud, is_red, is_slow, is_yellow, made_of_metal, requires_gasoline, used_for_ploughing, used_on_farms"
trailer,867,trailer truck tractor trailer trucking rig rig articulated lorry semi,"found_at_trailer_parks, has_a_hitch, has_a_kitchen, has_wheels, is_large, is_mobile, used_as_a_house, used_by_pulling_behind_cars, used_for_camping, used_for_carrying_things, used_for_holding_things, used_for_trucking"
